RunId,iteration,Step,width,height,density,minority_pc,homophily,altruism,policy,follow_policy,perc_happy,segregation
86,0,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.9,0.9951560818083961,0.692545748116254
64,0,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.9,0.945125199786894,0.6181406499733617
76,0,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,1.0,0.9750260145681582,0.6251300728407908
89,0,69,50,50,0.75,0.4,3,0.0,similar_history_cell,0.1,1.0,0.6615198711063373
90,0,99,50,50,0.75,0.4,3,0.0,similar_history_cell,0.2,1.0,0.6542895442359249
99,0,28,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.0,1.0,0.6536819637139808
100,0,26,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.1,1.0,0.6592849519743863
101,0,36,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.2,1.0,0.6754526091586794
65,0,100,50,50,0.75,0.4,3,0.0,recently_emptied,1.0,0.9345991561181435,0.5949367088607594
102,0,19,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.3,1.0,0.6615547329455315
103,0,30,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.4,1.0,0.6771055437100213
91,0,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.3,0.9800108049702864,0.6334413830361967
104,0,14,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.5,1.0,0.6547683189655172
105,0,16,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.6,1.0,0.6888681260010678
106,0,12,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.7,1.0,0.6894510226049516
107,0,16,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.8,1.0,0.6930195663670016
108,0,10,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.9,1.0,0.683128670581954
109,0,9,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,1.0,1.0,0.697938689217759
110,1,24,50,50,0.75,0.4,3,0.0,random,0.0,1.0,0.6740691489361702
111,1,27,50,50,0.75,0.4,3,0.0,random,0.1,1.0,0.6412049488972565
112,1,26,50,50,0.75,0.4,3,0.0,random,0.2,1.0,0.6553347280334728
113,1,23,50,50,0.75,0.4,3,0.0,random,0.3,1.0,0.6687035069075452
114,1,26,50,50,0.75,0.4,3,0.0,random,0.4,1.0,0.6554765666140073
92,0,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.4,0.9287245444801715,0.5833333333333334
115,1,32,50,50,0.75,0.4,3,0.0,random,0.5,1.0,0.6706821873308068
116,1,23,50,50,0.75,0.4,3,0.0,random,0.6,1.0,0.6604221635883905
117,1,21,50,50,0.75,0.4,3,0.0,random,0.7,1.0,0.6650943396226415
118,1,34,50,50,0.75,0.4,3,0.0,random,0.8,1.0,0.6521156936261382
120,1,38,50,50,0.75,0.4,3,0.0,random,1.0,1.0,0.6506359300476947
119,1,27,50,50,0.75,0.4,3,0.0,random,0.9,1.0,0.6625855713533438
121,1,24,50,50,0.75,0.4,3,0.0,distance_relevance,0.0,1.0,0.6551585169263837
122,1,29,50,50,0.75,0.4,3,0.0,distance_relevance,0.1,1.0,0.6419736842105264
124,1,36,50,50,0.75,0.4,3,0.0,distance_relevance,0.3,1.0,0.642478813559322
123,1,85,50,50,0.75,0.4,3,0.0,distance_relevance,0.2,1.0,0.6455943691345151
93,0,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.5,0.9019178082191781,0.5541095890410959
125,1,88,50,50,0.75,0.4,3,0.0,distance_relevance,0.4,1.0,0.6342062193126022
126,1,100,50,50,0.75,0.4,3,0.0,distance_relevance,0.5,0.9994700582935877,0.6220190779014309
127,1,76,50,50,0.75,0.4,3,0.0,distance_relevance,0.6,1.0,0.6395318253550762
128,1,76,50,50,0.75,0.4,3,0.0,distance_relevance,0.7,1.0,0.6265889830508474
130,1,59,50,50,0.75,0.4,3,0.0,distance_relevance,0.9,1.0,0.6169614147909968
129,1,86,50,50,0.75,0.4,3,0.0,distance_relevance,0.8,1.0,0.624123043712898
94,0,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.6,0.8765432098765432,0.5237520128824477
131,1,47,50,50,0.75,0.4,3,0.0,distance_relevance,1.0,1.0,0.5978494623655914
132,1,27,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.0,1.0,0.6600429645542427
133,1,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.1,0.996199782844734,0.6605591748099892
95,0,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.7,0.8545356951154053,0.4927536231884058
134,1,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.2,0.985239852398524,0.6501054296257248
135,1,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.3,0.9825026511134677,0.6325556733828208
136,1,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.4,0.9759615384615384,0.6331463675213675
138,1,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.6,0.9781897491821155,0.6259541984732825
143,1,31,50,50,0.75,0.4,3,0.0,minimum_improvement,0.0,1.0,0.6326169749727966
144,1,22,50,50,0.75,0.4,3,0.0,minimum_improvement,0.1,1.0,0.6304582210242587
145,1,23,50,50,0.75,0.4,3,0.0,minimum_improvement,0.2,1.0,0.6432894736842105
146,1,19,50,50,0.75,0.4,3,0.0,minimum_improvement,0.3,1.0,0.6233404142326076
137,1,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.5,0.9631803628601922,0.625
147,1,21,50,50,0.75,0.4,3,0.0,minimum_improvement,0.4,1.0,0.6341166936790924
139,1,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.7,0.9559376679204729,0.615260612573885
141,1,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.9,0.9670388091440723,0.6067251461988304
148,1,28,50,50,0.75,0.4,3,0.0,minimum_improvement,0.5,1.0,0.6140043173232596
149,1,38,50,50,0.75,0.4,3,0.0,minimum_improvement,0.6,1.0,0.6047241944292736
142,1,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,1.0,0.9707792207792207,0.5898268398268398
150,1,15,50,50,0.75,0.4,3,0.0,minimum_improvement,0.7,1.0,0.59356802541027
140,1,100,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.8,0.967391304347826,0.6043478260869565
96,0,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.8,0.7849973586899102,0.4589276281035394
152,1,11,50,50,0.75,0.4,3,0.0,minimum_improvement,0.9,1.0,0.5707597645799893
151,1,14,50,50,0.75,0.4,3,0.0,minimum_improvement,0.8,1.0,0.5860372340425531
153,1,6,50,50,0.75,0.4,3,0.0,minimum_improvement,1.0,1.0,0.5401419989077008
154,1,21,50,50,0.75,0.4,3,0.0,maximum_improvement,0.0,1.0,0.661563696008748
155,1,29,50,50,0.75,0.4,3,0.0,maximum_improvement,0.1,1.0,0.6506359300476947
157,1,19,50,50,0.75,0.4,3,0.0,maximum_improvement,0.3,1.0,0.6856246590289143
156,1,23,50,50,0.75,0.4,3,0.0,maximum_improvement,0.2,1.0,0.6753711558854719
158,1,20,50,50,0.75,0.4,3,0.0,maximum_improvement,0.4,1.0,0.7116604970914859
160,1,18,50,50,0.75,0.4,3,0.0,maximum_improvement,0.6,1.0,0.7266526757607555
159,1,18,50,50,0.75,0.4,3,0.0,maximum_improvement,0.5,1.0,0.7217720151269584
162,1,15,50,50,0.75,0.4,3,0.0,maximum_improvement,0.8,1.0,0.740224959828602
161,1,16,50,50,0.75,0.4,3,0.0,maximum_improvement,0.7,1.0,0.7144362486828241
164,1,4,50,50,0.75,0.4,3,0.0,maximum_improvement,1.0,1.0,0.7422913343965976
163,1,18,50,50,0.75,0.4,3,0.0,maximum_improvement,0.9,1.0,0.7502641310089805
165,1,23,50,50,0.75,0.4,3,0.0,recently_emptied,0.0,1.0,0.6604774535809018
168,1,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.3,0.9930703624733476,0.6619136460554371
166,1,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.1,0.9903381642512077,0.6580783682232958
97,0,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.9,0.7141321869962386,0.42141321869962384
167,1,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.2,0.9887700534759358,0.6443850267379679
176,1,19,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.0,1.0,0.6598143236074271
169,1,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.4,0.9892066918510524,0.6444954128440367
177,1,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.1,0.996244635193133,0.6609442060085837
178,1,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.2,0.9951586874663798,0.657477138246369
172,1,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.7,0.9834401709401709,0.6481036324786325
170,1,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.5,0.9800646551724138,0.6495150862068966
98,0,100,50,50,0.75,0.4,3,0.0,similar_history_cell,1.0,0.66064790228359,0.40507169410515137
179,1,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.3,0.9923287671232877,0.643972602739726
180,1,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.4,0.9866167023554604,0.6311563169164882
171,1,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.6,0.9709208400646203,0.6490306946688207
173,1,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.8,0.9676409185803758,0.6607515657620042
181,1,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.5,0.984400215169446,0.636094674556213
187,1,17,50,50,0.75,0.4,3,0.0,different_neighborhood,0.0,1.0,0.6612771739130435
189,1,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.2,0.9994725738396625,0.6521624472573839
182,1,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.6,0.9818084537185661,0.6396468699839486
188,1,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.1,0.9983677910772579,0.6626768226332971
190,1,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.3,0.9983748645720477,0.6457204767063922
184,1,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.8,0.9812834224598931,0.6264705882352941
183,1,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.7,0.979978354978355,0.6170183982683982
191,1,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.4,0.9984025559105432,0.6679978700745474
193,1,44,50,50,0.75,0.4,3,0.0,different_neighborhood,0.6,1.0,0.6808453718566078
196,1,15,50,50,0.75,0.4,3,0.0,different_neighborhood,0.9,1.0,0.6816976127320955
192,1,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.5,0.998936735778841,0.6689261031366295
175,1,100,50,50,0.75,0.4,3,0.0,recently_emptied,1.0,0.9680851063829787,0.632313829787234
195,1,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.8,0.9983862291554599,0.6812802582033352
194,1,100,50,50,0.75,0.4,3,0.0,different_neighborhood,0.7,0.9957196361690743,0.6532905296950241
198,1,17,50,50,0.75,0.4,3,0.0,similar_history_cell,0.0,1.0,0.6440880169671261
185,1,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,0.9,0.9704356846473029,0.6095695020746889
199,1,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.1,0.9973147153598282,0.6385606874328679
197,1,100,50,50,0.75,0.4,3,0.0,different_neighborhood,1.0,0.9989177489177489,0.7006222943722944
174,1,100,50,50,0.75,0.4,3,0.0,recently_emptied,0.9,0.9594666666666667,0.6362666666666666
200,1,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.2,0.9984160506863781,0.6437434002111933
209,1,23,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.0,1.0,0.6568733153638814
210,1,38,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.1,1.0,0.6686046511627907
201,1,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.3,0.9712153518123667,0.6170042643923241
186,1,100,50,50,0.75,0.4,3,0.0,similar_neighborhood,1.0,0.9661554732945531,0.5980962453728186
211,1,22,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.2,1.0,0.6696712619300106
212,1,45,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.3,1.0,0.6732594936708861
213,1,22,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.4,1.0,0.6856617647058824
214,1,20,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.5,1.0,0.6711723768736617
215,1,20,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.6,1.0,0.6852941176470588
202,1,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.4,0.929217668972858,0.577833954230974
216,1,19,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.7,1.0,0.697615219721329
217,1,13,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.8,1.0,0.6943850267379679
218,1,13,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,0.9,1.0,0.6787620064034151
203,1,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.5,0.9125799573560768,0.5545042643923241
220,2,23,50,50,0.75,0.4,3,0.0,random,0.0,1.0,0.6649973642593568
219,1,7,50,50,0.75,0.4,3,0.0,similar_history_neighborhood,1.0,1.0,0.6782152230971129
221,2,31,50,50,0.75,0.4,3,0.0,random,0.1,1.0,0.6788542766631468
222,2,33,50,50,0.75,0.4,3,0.0,random,0.2,1.0,0.6576659641728135
223,2,22,50,50,0.75,0.4,3,0.0,random,0.3,1.0,0.6604774535809018
224,2,36,50,50,0.75,0.4,3,0.0,random,0.4,1.0,0.6544391281233386
225,2,34,50,50,0.75,0.4,3,0.0,random,0.5,1.0,0.6514689578713969
227,2,22,50,50,0.75,0.4,3,0.0,random,0.7,1.0,0.6639784946236559
226,2,27,50,50,0.75,0.4,3,0.0,random,0.6,1.0,0.6723684210526316
228,2,34,50,50,0.75,0.4,3,0.0,random,0.8,1.0,0.6373106060606061
204,1,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.6,0.8767491926803014,0.5271797631862217
229,2,25,50,50,0.75,0.4,3,0.0,random,0.9,1.0,0.6585431173004821
230,2,21,50,50,0.75,0.4,3,0.0,random,1.0,1.0,0.6431949553336836
231,2,22,50,50,0.75,0.4,3,0.0,distance_relevance,0.0,1.0,0.6567524115755627
232,2,30,50,50,0.75,0.4,3,0.0,distance_relevance,0.1,1.0,0.6534455128205128
205,1,100,50,50,0.75,0.4,3,0.0,similar_history_cell,0.7,0.8662821185107499,0.516255899318301
233,2,100,50,50,0.75,0.4,3,0.0,distance_relevance,0.2,0.9994652406417113,0.6427807486631016
235,2,100,50,50,0.75,0.4,3,0.0,distance_relevance,0.4,0.9994694960212201,0.6437665782493369
234,2,99,50,50,0.75,0.4,3,0.0,distance_relevance,0.3,1.0,0.6405325443786982
236,2,38,50,50,0.75,0.4,3,0.0,distance_relevance,0.5,1.0,0.6383597883597883
242,2,24,50,50,0.75,0.4,3,0.0,rich_neighborhood,0.0,1.0,0.6463737427210164
237,2,100,50,50,0.75,0.4,3,0.0,distance_relevance,0.6,0.9994640943193998,0.6187031082529475
238,2,54,50,50,0.75,0.4,3,0.0,distance_relevance,0.7,1.0,0.6258021390374332
